Flight_ID,Airline,Origin,Destination,Departure_Time,Arrival_Time,Delay_Minutes,Cargo_Weight,Baggage_Count,Gate_Number,Flight_Status
FL001,Delta Airlines,JFK,LAX,2024-01-15 06:00,2024-01-15 09:30,25,15200,320,A1,Delayed
FL002,United Airlines,ORD,MIA,2024-01-15 07:15,2024-01-15 11:45,0,8500,180,B3,On Time
FL003,American Airlines,LAX,JFK,2024-01-15 08:00,2024-01-15 16:30,45,22000,410,A2,Delayed
FL004,Southwest Airlines,DAL,DEN,2024-01-15 08:30,2024-01-15 10:15,10,6200,150,C1,Delayed
FL005,Delta Airlines,ATL,ORD,2024-01-15 09:00,2024-01-15 11:00,0,11000,220,B1,On Time
FL006,JetBlue Airways,BOS,FLL,2024-01-15 09:30,2024-01-15 13:00,60,7800,165,D2,Delayed
FL007,United Airlines,SFO,SEA,2024-01-15 10:00,2024-01-15 12:30,5,9300,198,A3,On Time
FL008,American Airlines,DFW,PHX,2024-01-15 10:30,2024-01-15 12:00,0,5100,110,C2,On Time
FL009,Spirit Airlines,MCO,LGA,2024-01-15 11:00,2024-01-15 14:30,90,4200,290,B2,Delayed
FL010,Delta Airlines,MSP,DTW,2024-01-15 11:30,2024-01-15 13:45,15,7600,175,A1,Delayed
FL011,Alaska Airlines,SEA,SFO,2024-01-15 12:00,2024-01-15 14:15,0,13400,230,D1,On Time
FL012,United Airlines,LAX,DEN,2024-01-15 12:30,2024-01-15 15:30,30,10200,195,B4,Delayed
FL013,Frontier Airlines,DEN,LAS,2024-01-15 13:00,2024-01-15 14:30,0,3800,88,C3,On Time
FL014,Delta Airlines,JFK,ATL,2024-01-15 13:30,2024-01-15 16:00,55,18900,355,A2,Delayed
FL015,American Airlines,MIA,ORD,2024-01-15 14:00,2024-01-15 17:30,20,14700,280,B1,Delayed
FL016,Southwest Airlines,LAS,PHX,2024-01-15 14:30,2024-01-15 15:45,0,4500,120,C1,On Time
FL017,JetBlue Airways,JFK,LAX,2024-01-15 15:00,2024-01-15 18:30,75,16300,340,D3,Delayed
FL018,United Airlines,ORD,SFO,2024-01-15 15:30,2024-01-15 18:00,0,12800,245,A3,On Time
FL019,Spirit Airlines,FLL,BOS,2024-01-15 16:00,2024-01-15 20:00,40,5600,210,B2,Delayed
FL020,Delta Airlines,ATL,JFK,2024-01-15 16:30,2024-01-15 20:00,0,19800,380,A1,On Time
FL021,American Airlines,PHX,LAX,2024-01-15 17:00,2024-01-15 18:30,10,7200,145,C2,Delayed
FL022,Alaska Airlines,SFO,PDX,2024-01-15 17:30,2024-01-15 19:00,0,6100,132,D1,On Time
FL023,United Airlines,DEN,ORD,2024-01-15 18:00,2024-01-15 21:30,65,11500,225,B3,Delayed
FL024,Southwest Airlines,DAL,MCO,2024-01-15 18:30,2024-01-15 22:00,0,8900,190,C1,On Time
FL025,Delta Airlines,LAX,MSP,2024-01-15 19:00,2024-01-15 22:30,35,15600,300,A2,Delayed
FL026,JetBlue Airways,BOS,JFK,2024-01-15 19:30,2024-01-15 21:00,0,4300,95,D2,On Time
FL027,American Airlines,ORD,DFW,2024-01-15 20:00,2024-01-15 22:30,80,13200,265,B1,Delayed
FL028,Frontier Airlines,LAS,DEN,2024-01-15 20:30,2024-01-15 22:00,0,5200,115,C3,On Time
FL029,Spirit Airlines,LGA,MCO,2024-01-15 21:00,2024-01-15 00:30,50,6800,240,B2,Delayed
FL030,Delta Airlines,DTW,ATL,2024-01-15 21:30,2024-01-15 23:30,0,10400,200,A1,On Time
FL031,United Airlines,SFO,LAX,2024-01-16 06:00,2024-01-16 07:15,20,8100,155,B4,Delayed
FL032,American Airlines,JFK,MIA,2024-01-16 06:30,2024-01-16 10:00,0,17500,330,C2,On Time
FL033,Delta Airlines,ORD,JFK,2024-01-16 07:00,2024-01-16 10:30,45,12300,250,A2,Delayed
FL034,Southwest Airlines,PHX,DAL,2024-01-16 07:30,2024-01-16 09:30,0,5800,130,C1,On Time
FL035,JetBlue Airways,LAX,BOS,2024-01-16 08:00,2024-01-16 16:30,70,14900,290,D3,Delayed
FL036,Alaska Airlines,PDX,SEA,2024-01-16 08:30,2024-01-16 09:30,0,3600,78,D1,On Time
FL037,United Airlines,MIA,ORD,2024-01-16 09:00,2024-01-16 12:30,30,11800,220,B3,Delayed
FL038,Spirit Airlines,MCO,FLL,2024-01-16 09:30,2024-01-16 10:45,0,4100,185,B2,On Time
FL039,Delta Airlines,JFK,SFO,2024-01-16 10:00,2024-01-16 13:30,55,21000,400,A1,Delayed
FL040,American Airlines,DEN,LAX,2024-01-16 10:30,2024-01-16 12:00,0,9700,185,C2,On Time
FL041,Frontier Airlines,DEN,PHX,2024-01-16 11:00,2024-01-16 12:15,15,4600,100,C3,Delayed
FL042,Southwest Airlines,MCO,DAL,2024-01-16 11:30,2024-01-16 14:00,0,7300,160,C1,On Time
FL043,United Airlines,ATL,DEN,2024-01-16 12:00,2024-01-16 14:30,40,10600,205,B4,Delayed
FL044,JetBlue Airways,FLL,JFK,2024-01-16 12:30,2024-01-16 16:00,0,8200,175,D2,On Time
FL045,Delta Airlines,MSP,LAX,2024-01-16 13:00,2024-01-16 15:30,65,17800,345,A2,Delayed
FL046,Alaska Airlines,SEA,LAX,2024-01-16 13:30,2024-01-16 16:00,0,11200,215,D1,On Time
FL047,American Airlines,LGA,ORD,2024-01-16 14:00,2024-01-16 16:30,25,9800,200,C2,Delayed
FL048,Spirit Airlines,BOS,MCO,2024-01-16 14:30,2024-01-16 18:00,0,5500,230,B2,On Time
FL049,Delta Airlines,ATL,LAX,2024-01-16 15:00,2024-01-16 17:30,85,20100,390,A1,Delayed
FL050,United Airlines,ORD,ATL,2024-01-16 15:30,2024-01-16 18:00,10,13500,255,B3,Delayed
